index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
11,JP-JP,national_official_exam_official_source,自閉スペクトラム症の特徴でないのはどれか。,男児に多い。,感覚過敏がある。,対人関係の苦手さがある。,就学前に症状がみられる。,物事に対するこだわりが弱い。,5,Which of the following is not a characteristic of autism spectrum disorder?,It is more common in boys.,They have sensory hypersensitivity.,They have difficulty with interpersonal relationships.,Symptoms appear before school starts.,I have little attachment to things.,,,,,,,,,,,,,,
12,JP-JP,national_official_exam_official_source,急激な血圧上昇を認める患者で、高血圧緊急症の病態として考えにくいのはどれか。,急性大動脈解離,褐色細胞腫クリーゼ,乳頭浮腫を伴う脳浮腫,肺水腫を生じた急性心不全,肺動脈性肺高血圧症を伴う呼吸不全,5,"In a patient experiencing a sudden rise in blood pressure, which of the following is unlikely to be a hypertensive emergency?",Acute aortic dissection,Pheochromocytoma crisis,Cerebral edema with papilledema,Acute heart failure causing pulmonary edema,Respiratory failure with pulmonary arterial hypertension,,,,,,,,,,,,,,
13,JP-JP,national_official_exam_official_source,76 歳の女性。高血糖と尿蛋白を指摘されて来院した。退職前の健診で血糖値が高めであることを指摘されていたが、そのままにしていた。60 歳で退職後は健診を受診していなかった。退職後の年間で体重が10 kg 増加した。既往歴に特記すべきことはない。姉に糖尿病がある。現在はひとり暮らしである。運動習慣はない。視力低下のために眼科を受診したところ、増殖性糖尿病網膜症と診断され、高血糖と尿蛋白も指摘されて紹介された。身長154 cm、体重70 kg。脈拍72/分、整。血圧142/80 mmHg。胸腹部に異常を認めない。両下に軽度の圧痕性浮腫を認める。尿所見：蛋白、糖、潜血。随時尿の尿蛋白/Cr 比は1.2 g/gCr。尿沈渣に赤血球、白血球、円柱を認めない。血液生化学所見：総蛋白6.1 g/dL、アルブミン4.2 g/dL、尿素窒素16 mg/dL、クレアチニン0.6 mg/dL、eGFR 72.3 mL/分/1.73 m2、随時血糖値201 mg/dL、HbA1c 10.2 %、Na 142 mEq/L、K 4.5 mEq/L、Cl 100 mEq/L、Ca 9.2 mg/dL。抗GAD 抗体陰性。尿蛋白の原因を調べるための腎生検は患者が希望しなかった。本患者の蛋白尿の原因が糖尿病性腎症であることを最も示唆する所見はどれか。,姉の糖尿病歴,抗GAD 抗体陰性,糖尿病網膜症の存在,随時血糖値＞200 mg/dL,尿蛋白/Cr 比＞1.0 g/gCr,3,"A 76-year-old woman came to our hospital because of hyperglycemia and proteinuria. A pre-retirement health check had pointed out that her blood glucose level was high, but she had left it untreated. She had not undergone a health check since she retired at age 60. She had gained 10 kg in weight in the year since she retired. There was nothing notable about her medical history. Her older sister has diabetes. She currently lives alone. She does not exercise regularly. She visited an ophthalmologist because of declining vision, and was diagnosed with proliferative diabetic retinopathy. She was also found to have hyperglycemia and proteinuria, and was referred to us. Height 154 cm, weight 70 kg. Pulse 72 beats per minute, regular. Blood pressure 142/80 mmHg. No abnormalities were found in the chest or abdomen. Mild pitting edema was present in both lower extremities. Urine findings: protein, sugar, occult blood. Spot urine protein/Cr ratio was 1.2 g/gCr. No red blood cells, white blood cells, or casts were found in the urinary sediment. Blood biochemistry findings: total protein 6.1 g/dL, albumin 4.2 g/dL, urea nitrogen 16 mg/dL, creatinine 0.6 mg/dL, eGFR 72.3 mL/min/1.73 m2, random blood glucose 201 mg/dL, HbA1c 10.2%, Na 142 mEq/L, K 4.5 mEq/L, Cl 100 mEq/L, Ca 9.2 mg/dL. Anti-GAD antibodies were negative. The patient did not wish to undergo a renal biopsy to determine the cause of the urinary protein. Which finding most likely suggests that the cause of this patient's proteinuria is diabetic nephropathy?",Older sister's history of diabetes,Anti-GAD antibody negative,Presence of diabetic retinopathy,Random blood glucose level > 200 mg/dL,Urine protein/Cr ratio>1.0 g/gCr,,,,,,,,,,,,,,
14,JP-JP,national_official_exam_official_source,23 歳の男性。仕事中居眠りが多く、重要な商談や会議中でも発作的に眠ってしまうことが多いため来院した。数年前から夜間十分に眠っても日中に何回も急に強い眠気を認めるようになり、最近は大笑いや驚いた後に急に全身の力が抜けることが増えてきたという。神経診察に異常を認めない。この患者にみられる可能性が高い特徴はどれか。,入眠時に金縛りにあう。,夜間せん妄を合併する。,睡眠発作後にも眠気が残る。,睡眠中にパニック発作を認める。,睡眠中に脚を動かしたいという欲求が強まる。,1,"A 23-year-old man visits the hospital because he often falls asleep at work and often falls asleep suddenly even during important business negotiations or meetings. For the past few years, he has experienced sudden, intense feelings of sleepiness several times during the day, even when he has had sufficient sleep at night. Recently, he has been experiencing sudden, full-body relaxation after laughing loudly or being startled. No abnormalities are found in the neurological examination. Which of the following is most likely to be present in this patient?",He experiences sleep paralysis when falling asleep.,It is accompanied by nocturnal delirium.,Sleepiness persists even after a sleep attack.,Panic attacks during sleep.,Increased desire to move legs during sleep.,,,,,,,,,,,,,,
15,JP-JP,national_official_exam_official_source,"62 歳の女性。息切れと全身倦怠感を主訴に来院した。7日前に発作性心房細動に対してカテーテルアブレーションが施行されており、3日前に退院していた。退院翌日に息切れと全身倦怠感が出現し、症状が徐々に増悪するため受診した。意識は清明。体温36.2 ℃。脈拍112/分、整。血圧88/72 mmHg。血圧は吸気時に収縮期血圧が18 mmHg 低下する。呼吸数18/分。SpO2 95 %(room air)。呼吸音に異常を認めない。心音は微弱だが雑音は聴取しない。頸静脈は怒張している。血液所見：赤血球462 万、Hb 13.2 g/dL、Ht 39 %、白血球9,700、血小板39 万。血液生化学所見：尿素窒素44 mg/dL、クレアチニン1.7 mg/dL、Na 141 mEq/L、K 4.2 mEq/L、Cl 110 mEq/L。最も考えられる病態はどれか。",後腹膜血腫,心室中隔孔,肺血栓塞栓症,心タンポナーデ,完全房室ブロック,4,"A 62-year-old woman came to the hospital complaining of shortness of breath and general fatigue. Seven days earlier, she had undergone catheter ablation for paroxysmal atrial fibrillation, and had been discharged three days earlier. The day after discharge, she developed shortness of breath and general fatigue, and her symptoms gradually worsened, so she visited the hospital. She was conscious and alert. Body temperature was 36.2°C. Pulse rate was 112 beats per minute, regular. Blood pressure was 88/72 mmHg. Systolic blood pressure decreased by 18 mmHg during inspiration. Respiratory rate was 18 beats per minute. SpO2 was 95% (room air). There were no abnormalities in the breath sounds. Heart sounds were weak, but no murmurs were audible. The jugular vein was distended. Blood findings: red blood cells 4.62 million, hemoglobin 13.2 g/dL, hematocrit 39%, white blood cells 9,700, and platelets 390,000. Blood biochemistry findings: urea nitrogen 44 mg/dL, creatinine 1.7 mg/dL, Na 141 mEq/L, K 4.2 mEq/L, Cl 110 mEq/L. Which is the most likely pathology?",Retroperitoneal hematoma,ventricular septal foramen,Pulmonary embolism,Cardiac tamponade,Complete atrioventricular block,,,,,,,,,,,,,,
16,JP-JP,national_official_exam_official_source,"13 歳の女子。バスケットボールの試合中に気分不快と腹痛が出現したため、教師に付き添われ来院した。会場で用意された弁当を食べて約4時間後に試合に出場した。試合開始10 分後に気分不快と全身の皮膚瘙痒及び強い腹痛が現れた。弁当の主な副食材はイカであり、最近4年ほどは食べていなかったという。診察時には気分不快や腹痛のピークは過ぎていた。意識は清明。体温36.8 ℃。脈拍80/分。呼吸数18/分。SpO2 100 % (room air)。血圧110/76 mmHg。呼吸音に異常を認めない。腹部は平坦、軟で、軽度の紅斑と膨疹を認める。血液所見：赤血球430 万、Hb 12.5 g/dL、白血球4,800(分葉核好中球42 %、好酸球2%、リンパ球56 %)、血小板21 万。CRP 0.3 mg/dL。今後の対応として適切なのはどれか。",部活動を止めさせる。,イカの摂取を禁ずる。,プリックテストを行う。,運動前の食事は禁止する。,運動前にステロイド薬を内服させる。,3,"A 13-year-old girl was accompanied by a teacher to the hospital because she had developed nausea and abdominal pain during a basketball game. She ate a boxed lunch prepared at the venue and played in the game about 4 hours later. Ten minutes after the start of the game, she developed nausea, generalized skin itching, and severe abdominal pain. The main side ingredient in the boxed lunch was squid, which she had not eaten in the last 4 years. At the time of examination, the peak of her nausea and abdominal pain had passed. She was conscious and alert. Body temperature 36.8°C. Pulse 80 beats/min. Respiratory rate 18 breaths/min. SpO2 100% (room air). Blood pressure 110/76 mmHg. No abnormalities were noted in her breath sounds. The abdomen was flat and soft, with mild erythema and wheals. Blood findings: red blood cells 4.3 million, hemoglobin 12.5 g/dL, white blood cells 4,800 (segmented neutrophils 42%, eosinophils 2%, lymphocytes 56%), platelets 210,000. CRP 0.3 mg/dL. Which of the following is the most appropriate future course of action?",Stop club activities.,She is forbidden to eat squid.,Perform a skin prick test.,Do not eat before exercise.,Steroid medication is administered before exercise.,,,,,,,,,,,,,,
17,JP-JP,national_official_exam_official_source,30 歳の男性。｢3か月くらい前から、仕事の能率が悪いのが気になる｣と訴えて産業医面談を希望した。新型コロナウイルス感染症（COVID-19）の流行に伴い、約半年前から会議もオンラインで行う在宅勤務となった。妻と3歳の男児との3人暮らしだが、自宅周囲の騒音や男児の世話のためにイライラして仕事に集中できないという。約1か月前から寝酒を飲んで眠るようになったが、その頃から朝の起床時に気持ちが沈んでいることが多くなった。毎日疲れが残り、気がつくと取り留めなく考え事をしているという。産業医の対応として適切でないのはどれか。,精神科受診を勧める。,寝酒はやめるように指導する。,本人の同意を得て上司と面談する。,仕事の仕方や内容について詳しく聴く。,感染症の流行が終息するまで辛抱するよう励ます。,5,"A 30-year-old man requested an interview with an industrial physician, complaining that ""for about three months, I've been concerned about my poor work efficiency."" Due to the COVID-19 outbreak, he has been working from home, even conducting meetings online, for about six months. He lives with his wife and three-year-old son, but says that he is irritated by the noise around the house and the need to take care of the boy, and is unable to concentrate on his work. About a month ago, he started drinking before bed, and since then, he has often felt depressed when he wakes up in the morning. He says that he is still tired every day, and when he realizes it, he is thinking about random things. Which of the following is not an appropriate response from an industrial physician?",I recommend seeing a psychiatrist.,Instruct the patient to avoid drinking before bed.,"With the individual's consent, meet with their supervisor.",Learn more about the work and how it is done.,Encourage patience until the epidemic is over.,,,,,,,,,,,,,,
18,JP-JP,national_official_exam_official_source,"23 歳の男性。全身倦怠感、食欲不振、悪心を主訴に来院した。1 週間前から症状が出現し、昨日から褐色調の尿が出るようになった。下痢はない。飲酒は機会飲酒。1か月前に同性間の性交渉歴がある。意識は清明。体温37.2 ℃。眼球結膜の黄染を認める。肝を右季肋部に2 cm 触知し、軽度の圧痛を認める。血液所見：赤血球490 万、Hb 14.5 g/dL、Ht 42 %、白血球6,300( 好中球42 %、好酸球1%、好塩基球1 %、単球9%、リンパ球45 %、異型リンパ球2 %)、血小板28 万、PT-INR 1.1 (基準0.9〜1.1)。血液生化学所見：総蛋白7.2 g/dL、アルブミン3.9 g/dL、IgG 1,140 mg/dL (基準960〜1,960)、IgM 473 mg/dL (基準65〜350)、総ビリルビン8.1 mg/dL、直接ビリルビン5.7 mg/dL、AST 984 U/L、ALT 822 U/L、LD 423 U/L (基準120〜245)、ALP 143 U/L (基準38〜113)、γ-GT 266 U/L (基準8〜50)。免疫血清学所見：HBs 抗原陰性、IgM 型HBc 抗体陰性、HCV 抗体陰性、HCV-RNA 陰性、IgM 型HA 抗体陽性、IgA 型HEV 抗体陰性、RPR1 倍未満 (基準1 倍未満)、TPHA 320 倍 (基準80 倍未満)。この患者で考えられる疾患はどれか。",A 型肝炎,B 型肝炎,C 型肝炎,D 型肝炎,E 型肝炎,1,"A 23-year-old male came to the hospital complaining of general malaise, loss of appetite, and nausea. The symptoms began one week ago, and brown urine began yesterday. There is no diarrhea. He drinks alcohol on an occasional basis. He has had homosexual intercourse one month ago. He is conscious and alert. Temperature is 37.2°C. Yellowing of the conjunctiva is observed. The liver is palpated 2 cm into the right hypochondrium, and mild tenderness is observed. Blood findings: RBC 4.9 million, Hb 14.5 g/dL, Ht 42%, WBC 6,300 (neutrophils 42%, eosinophils 1%, basophils 1%, monocytes 9%, lymphocytes 45%, atypical lymphocytes 2%), platelets 280,000, PT-INR 1.1 (normal 0.9-1.1). Blood biochemistry: total protein 7.2 g/dL, albumin 3.9 g/dL, IgG 1,140 mg/dL (standard 960-1,960), IgM 473 mg/dL (standard 65-350), total bilirubin 8.1 mg/dL, direct bilirubin 5.7 mg/dL, AST 984 U/L, ALT 822 U/L, LD 423 U/L (standard 120-245), ALP 143 U/L (standard 38-113), γ-GT 266 U/L (standard 8-50). Immunoserological findings: HBs antigen negative, IgM HBc antibody negative, HCV antibody negative, HCV-RNA negative, IgM HA antibody positive, IgA HEV antibody negative, RPR less than 1:1 (reference value: less than 1:1), TPHA 1:320 (reference value: less than 1:80). Which of the following is the possible disease in this patient?",hepatitis A,hepatitis B,hepatitis C,hepatitis D,Hepatitis E,,,,,,,,,,,,,,
19,JP-JP,national_official_exam_official_source,40 歳の男性。字がうまく書けないことを主訴に来院した。3年前から書類にサインするときに字がうまく書けないことに気づいていたが、徐々に仕事にも支障をきたすようになった。それ以外の日常生活に支障はない。神経診察では筋トーヌスは正常で不随意運動はみられない。四肢筋力低下はなく腱反射は正常である。協調運動障害と感覚障害は認めない。鉛筆で字を書くように指示すると、示指と中指の近位指節間関節と遠位指節間関節が強く屈曲し、歪んだ形の字となった。考えられるのはどれか。,書痙,痙性斜頸,本態性振戦,ジスキネジア,アステリキシス,1,"A 40-year-old man visited the hospital complaining of poor handwriting. Three years ago, he noticed that he could not write well when signing documents, but it gradually began to interfere with his work. Other than that, there is no interference with daily life. Neurological examination reveals normal muscle tonus and no involuntary movement. There is no weakness in the limbs, and tendon reflexes are normal. No coordination or sensory impairments were noted. When asked to write with a pencil, the proximal and distal interphalangeal joints of the index and middle fingers were strongly flexed, resulting in distorted handwriting. Which of the following is possible?",writer's cramp,Spasmodic torticollis,Essential tremor,Dyskinesia,Asterixis,,,,,,,,,,,,,,
20,JP-JP,national_official_exam_official_source,42 歳の男性。下腹部痛と悪心を主訴に来院した。生来健康で、半年前の定期健診でも異常は指摘されなかった。朝食後に右側腹部に張る感じがあり、次第に痛みへと変わり、急速に激痛となった。うずくまってじっとしているうちに数分で痛みは一旦改善したが10 分ほどで悪化し、悪心とともに嘔吐した。その後も数分から10 数分の周期で痛みと悪心があり、タクシーで来院した。発熱は認めない。痛みは下方へと少しずつ移動しており来院時には右下腹部痛を認めるが、右側腹部から背部のこわばるような違和感も持続している。予想される所見はどれか。,尿潜血3+,両側水腎症,尿沈渣で赤血球円柱+,血清クレアチニン値10.2 mg/dL,尿蛋白/クレアチニン比5.5 g/gCr,1,"A 42-year-old man visited the hospital complaining of lower abdominal pain and nausea. He had been healthy since birth, and no abnormalities were found during a regular medical check-up six months ago. After breakfast, he felt a tightness in his right abdomen, which gradually turned into pain and then rapidly became severe. The pain improved after a few minutes while he was crouched down and still, but it worsened within about 10 minutes, and he vomited along with nausea. He continued to experience pain and nausea every few minutes to 10 minutes, so he came to the hospital by taxi. He did not have a fever. The pain was gradually moving downward, and at the time of his visit, he had pain in the lower right abdomen, but he also had a persistent stiffness-like discomfort from the right abdomen to his back. Which of the following findings would be expected?",occult blood in urine 3+,Bilateral hydronephrosis,Urinary sediment showed red blood cell casts+,Serum creatinine level 10.2 mg/dL,Urine protein/creatinine ratio 5.5 g/gCr,,,,,,,,,,,,,,
21,PT-BR,national_official_exam_official_source,"Um paciente com 42 anos, assintomático, compareceu, pela primeira vez, a uma unidade básica de saúde (UBS), mencionando à médica de família e comunidade que ele havia se mudado recentemente para área de atuação da UBS. Na consulta, ele traz relatório médico do centro de atenção psicossocial (CAPS), informando o diagnóstico de esquizofrenia há 7 anos, sem crise nos últimos 3 anos, e uso de psicofármacos. O paciente relata que não usa outras medicações e que, há 1 mês, fez exames laboratoriais cujos resultados foram: glicemia de jejum: 189 mg/dL; colesterol total: 225 mg/dL; colesterol-HDL: 35 mg/dL; colesterol-LDL: 168 mg/dL. Por fim, queixa-se de ter começado a engordar desde o diagnóstico de esquizofrenia (índice de massa corporal atual: 36,2 kg/m²) e solicita a renovação da receita dos psicofármacos de que faz uso. Nessa situação, qual a conduta adequada para o caso?",Não renovar a receita até a avaliação do paciente pela psiquiatria e iniciar medidas para emagrecimento.,"Renovar a receita até o paciente retomar o seguimento no CAPS, e prescrever sulfonilureia nesse atendimento.","Renovar a receita, realizar seguimento multiprofissional no núcleo ampliado de saúde da família, e iniciar medidas para controle metabólico.","Encaminhar o paciente ao CAPS para renovação da receita, solicitar avaliação de nutricionista e do endocrinologista do núcleo ampliado de saúde da família.",none,3,"A 42-year-old asymptomatic patient came to a basic health unit (UBS) for the first time and told his family and community doctor that he had recently moved to the area covered by the UBS. At the appointment, he brought a medical report from the psychosocial care center (CAPS) stating that he had been diagnosed with schizophrenia for 7 years, had not had a crisis in the last 3 years, and was taking psychotropic drugs. The patient reported that he was not taking any other medications and that 1 month ago he had laboratory tests, the results of which were: fasting blood glucose: 189 mg/dL; total cholesterol: 225 mg/dL; HDL cholesterol: 35 mg/dL; LDL cholesterol: 168 mg/dL. Finally, he complained that he had started to gain weight since his diagnosis of schizophrenia (current body mass index: 36.2 kg/m²) and requested a renewal of the prescription for the psychotropic drugs he was taking. In this situation, what is the appropriate course of action?",Do not renew the prescription until the patient has been evaluated by a psychiatrist and weight loss measures have been initiated.,"Renew the prescription until the patient resumes follow-up at the CAPS, and prescribe sulfonylurea during this appointment.","Renew the prescription, carry out multidisciplinary follow-up at the expanded family health center, and initiate measures for metabolic control.","Refer the patient to CAPS to renew the prescription, request an evaluation by a nutritionist and endocrinologist from the extended family health center.",none,,,,,,,,,,,,,,
22,PT-BR,national_official_exam_official_source,"Uma paciente com 54 anos, portadora de nefropatia diabética em estágio 5 da KDIGO (do inglês Kidney Disease: Improving Global Outcomes), comparece ao ambulatório de nefrologia de hospital terciário, onde faz seguimento de sua terapia por diálise peritoneal ambulatorial contínua (CAPD) instituída há alguns meses. A paciente relata certo desconforto abdominal e aspecto turvo do líquido que é drenado de sua cavidade peritoneal. Nega febre ou outros sintomas e refere aumento de peso nas últimas semanas. Ao exame físico, a paciente se mostra normotensa, afebril, com dor leve à palpação abdominal difusamente. Exames laboratoriais que recentemente realizou revelam hiperglicemia e hipoalbuminemia. É coletado material da cavidade peritoneal, através do cateter de CAPD, para análise citológica e cultura para germes comuns. Acerca da condição que afeta essa paciente, assinale a opção correta.","O quadro clínico mais comum é o descrito, sendo rara a presença de febre e de outros sintomas constitucionais.",O diagnóstico provável do caso é sustentado apenas se estiverem presentes mais de 250 polimorfonucleares/mm3 no líquido analisado.,"A ocorrência de hiperglicemia e hipoalbuminemia é explicada pelo processo infeccioso, não podendo ser causadas tão somente pela CAPD.","O tratamento do caso envolve a retirada do cateter de CAPD, caso a cultura para germes comuns isole um bastonete Gram-negativo hidrofílico, como a Pseudomonas sp.",none,4,"A 54-year-old patient with stage 5 diabetic nephropathy according to KDIGO (Kidney Disease: Improving Global Outcomes) presents to the nephrology outpatient clinic of a tertiary hospital, where she is undergoing continuous ambulatory peritoneal dialysis (CAPD) therapy, which was started a few months ago. The patient reports some abdominal discomfort and a cloudy appearance of the fluid drained from her peritoneal cavity. She denies fever or other symptoms and reports weight gain in recent weeks. On physical examination, the patient is normotensive, afebrile, with mild diffuse abdominal pain on palpation. Recent laboratory tests reveal hyperglycemia and hypoalbuminemia. Material is collected from the peritoneal cavity, through the CAPD catheter, for cytological analysis and culture for common germs. Regarding the condition affecting this patient, select the correct option.","The most common clinical picture is the one described, with the presence of fever and other constitutional symptoms being rare.",The probable diagnosis of the case is supported only if more than 250 polymorphonuclear cells/mm3 are present in the analyzed fluid.,The occurrence of hyperglycemia and hypoalbuminemia is explained by the infectious process and cannot be caused solely by CAPD.,"Treatment of the case involves removal of the CAPD catheter if culture for common germs isolates a hydrophilic Gram-negative rod, such as Pseudomonas sp.",none,,,,,,,,,,,,,,
23,PT-BR,national_official_exam_official_source,"Um homem branco de 56 anos, sexualmente ativo, portador de síndrome metabólica, retorna ao ambulatório de referência 2 semanas após ter sido diagnosticado com artrite gotosa aguda em joelho direito, através de artrocentese com análise do líquido sinovial. Após o diagnóstico, o paciente manteve o uso de colchicina e interrompeu o tratamento com alopurinol. Segundo relato, apresentou melhora nos seus sintomas com o uso do anti-inflamatório não esteroidal prescrito. Ao exame físico, a articulação do joelho direito revela-se novamente bastante inflamada, com intenso rubor, calor e edema, além de impotência funcional. Realiza nova artrocentese, cujos resultados iniciais revelam 120 000 leucócitos/mm3, com 95% de polimorfonucleares. Considerando a situação desse paciente, a melhor explicação para o quadro articular atual é",artrite séptica bacteriana.,desenvolvimento de pseudogota local.,re-exacerbação da artrite gotosa aguda.,artrite secundária a infecção sexualmente transmissível.,none,1,"A 56-year-old sexually active white man with metabolic syndrome returns to the referral clinic 2 weeks after being diagnosed with acute gouty arthritis in his right knee, through arthrocentesis with analysis of synovial fluid. After diagnosis, the patient continued taking colchicine and discontinued treatment with allopurinol. According to the patient's report, his symptoms improved with the use of the prescribed nonsteroidal anti-inflammatory drug. On physical examination, the right knee joint was again highly inflamed, with intense redness, heat and edema, in addition to functional impotence. He underwent a new arthrocentesis, whose initial results revealed 120,000 leukocytes/mm3, with 95% polymorphonuclear cells. Considering this patient's situation, the best explanation for the current joint picture is",bacterial septic arthritis.,development of local pseudogout.,re-exacerbation of acute gouty arthritis.,arthritis secondary to sexually transmitted infection.,none,,,,,,,,,,,,,,
